#  Contiguous U.S. Palmer Z-Index
Date,Value
199007,0.59
199008,0.26
199009,-2.02
199010,1.73
199011,-0.79
199012,0.79
199101,1.03
199102,-1.78
199103,1.95
199104,2.05
199105,1.68
199106,-0.14
199107,0.31
199108,-0.08
199109,0.15
199110,-0.21
199111,0.86
199112,1
199201,0.52
199202,0.16
199203,-1
199204,-1.68
199205,-2.05
199206,1.69
199207,3.39
199208,2.74
199209,0.02
199210,-1.07
199211,3.35
199212,3.14
199301,4.14
199302,0.83
199303,0.9
199304,1.71
199305,-0.09
199306,2.58
199307,3.07
199308,2.02
199309,1.1
199310,0.77
199311,0.98
199312,0.41
199401,1.13
199402,0.77
199403,-1.4
199404,0.46
199405,-1.44
199406,-0.73
199407,0.23
199408,-0.44
199409,-1.26
199410,1.91
199411,1.86
199412,0.6
199501,3.37
199502,-1.45
199503,0.89
199504,1.61
199505,4.04
199506,1.43
199507,0.92
199508,0.14
199509,-0.71
199510,1.3
199511,0.58
199512,0.41
199601,2.18
199602,-0.37
199603,-0.26
199604,0.43
199605,0.95
199606,-0.36
199607,1.32
199608,0.53
199609,3.34
199610,1.35
199611,3.27
199612,4.68
199701,3.21
199702,0.99
199703,-1.2
199704,2.6
199705,0.04
199706,1.65
199707,0.8
199708,0.83
199709,-0.16
199710,1.2
199711,0.68
199712,0.64
199801,3.41
199802,3.25
199803,2.17
199804,0.29
199805,-1.61
199806,1.34
199807,-0.05
199808,-1.36
199809,-1.32
199810,1.9
199811,0.51
199812,-0.39
199901,2.19
199902,-0.91
199903,-1.42
199904,1.01
199905,0.15
199906,1.39
199907,0.12
199908,-1.11
199909,0.24
199910,-1.66
199911,-4.12
199912,-4.35
200001,-4.02
200002,-3.82
200003,-1.63
200004,-0.95
200005,-1.76
200006,1.39
200007,-1.32
200008,-3.27
200009,-1.33
200010,-0.05
200011,1.27
200012,-1.41
200101,-1.57
200102,0.78
200103,0.12
200104,-1.77
200105,-1.3
200106,0.46
200107,-0.5
200108,-1.58
200109,-0.49
200110,-0.32
200111,-1.42
200112,-1.52
200201,-2.01
200202,-2.48
200203,0.69
200204,-1.46
200205,-0.31
200206,-1.61
200207,-1.69
200208,-1.68
200209,-0.13
200210,2.89
200211,-0.45
200212,1.59
200301,-0.83
200302,1.93
200303,-0.67
200304,0.19
200305,0.78
200306,1.91
200307,0.45
200308,-0.67
200309,0.94
200310,-1.46
200311,0.19
200312,-0.5
200401,-0.87
200402,1.48
200403,-3.4
200404,-0.46
200405,0.64
200406,2.06
200407,2.17
200408,2.97
200409,1.63
200410,2.39
200411,3.49
200412,2.72
200501,2.87
200502,-0.23
200503,-0.82
200504,-0.11
200505,-0.08
200506,0.6
200507,-0.21
200508,0.82
200509,-2.36
200510,0.26
200511,-1.05
200512,-0.89
